id	distance	n_neighbors	resolution	random_state	n_clusters
C001	euclidean	5	0.01	0	7
C002	euclidean	5	0.05	0	12
C003	euclidean	5	0.1	0	14
C004	euclidean	5	0.2	0	20
C005	euclidean	5	0.3	0	22
C006	euclidean	5	0.5	0	32
C007	euclidean	5	0.8	0	39
C008	euclidean	5	1.0	0	44
C009	euclidean	5	2.0	0	65
C010	euclidean	5	5.0	0	118
C011	euclidean	5	10.0	0	187
C012	euclidean	5	0.01	1	8
C013	euclidean	5	0.05	1	13
C014	euclidean	5	0.1	1	15
C015	euclidean	5	0.2	1	21
C016	euclidean	5	0.3	1	24
C017	euclidean	5	0.5	1	31
C018	euclidean	5	0.8	1	39
C019	euclidean	5	1.0	1	46
C020	euclidean	5	2.0	1	65
C021	euclidean	5	5.0	1	118
C022	euclidean	5	10.0	1	186
C023	euclidean	5	0.01	2	8
C024	euclidean	5	0.05	2	11
C025	euclidean	5	0.1	2	13
C026	euclidean	5	0.2	2	18
C027	euclidean	5	0.3	2	23
C028	euclidean	5	0.5	2	29
C029	euclidean	5	0.8	2	37
C030	euclidean	5	1.0	2	46
C031	euclidean	5	2.0	2	63
C032	euclidean	5	5.0	2	116
C033	euclidean	5	10.0	2	193
C034	euclidean	15	0.01	0	4
C035	euclidean	15	0.05	0	6
C036	euclidean	15	0.1	0	7
C037	euclidean	15	0.2	0	13
C038	euclidean	15	0.3	0	14
C039	euclidean	15	0.5	0	19
C040	euclidean	15	0.8	0	23
C041	euclidean	15	1.0	0	27
C042	euclidean	15	2.0	0	43
C043	euclidean	15	5.0	0	75
C044	euclidean	15	10.0	0	127
C045	euclidean	15	0.01	1	3
C046	euclidean	15	0.05	1	6
C047	euclidean	15	0.1	1	8
C048	euclidean	15	0.2	1	13
C049	euclidean	15	0.3	1	14
C050	euclidean	15	0.5	1	18
C051	euclidean	15	0.8	1	24
C052	euclidean	15	1.0	1	28
C053	euclidean	15	2.0	1	41
C054	euclidean	15	5.0	1	75
C055	euclidean	15	10.0	1	131
C056	euclidean	15	0.01	2	3
C057	euclidean	15	0.05	2	6
C058	euclidean	15	0.1	2	7
C059	euclidean	15	0.2	2	12
C060	euclidean	15	0.3	2	14
C061	euclidean	15	0.5	2	19
C062	euclidean	15	0.8	2	24
C063	euclidean	15	1.0	2	27
C064	euclidean	15	2.0	2	41
C065	euclidean	15	5.0	2	76
C066	euclidean	15	10.0	2	128
C067	euclidean	30	0.01	0	3
C068	euclidean	30	0.05	0	5
C069	euclidean	30	0.1	0	7
C070	euclidean	30	0.2	0	10
C071	euclidean	30	0.3	0	14
C072	euclidean	30	0.5	0	16
C073	euclidean	30	0.8	0	22
C074	euclidean	30	1.0	0	25
C075	euclidean	30	2.0	0	35
C076	euclidean	30	5.0	0	63
C077	euclidean	30	10.0	0	111
C078	euclidean	30	0.01	1	3
C079	euclidean	30	0.05	1	5
C080	euclidean	30	0.1	1	7
C081	euclidean	30	0.2	1	11
C082	euclidean	30	0.3	1	13
C083	euclidean	30	0.5	1	18
C084	euclidean	30	0.8	1	22
C085	euclidean	30	1.0	1	24
C086	euclidean	30	2.0	1	34
C087	euclidean	30	5.0	1	68
C088	euclidean	30	10.0	1	112
C089	euclidean	30	0.01	2	3
C090	euclidean	30	0.05	2	5
C091	euclidean	30	0.1	2	7
C092	euclidean	30	0.2	2	10
C093	euclidean	30	0.3	2	14
C094	euclidean	30	0.5	2	17
C095	euclidean	30	0.8	2	21
C096	euclidean	30	1.0	2	23
C097	euclidean	30	2.0	2	34
C098	euclidean	30	5.0	2	67
C099	euclidean	30	10.0	2	109
C100	euclidean	50	0.01	0	3
C101	euclidean	50	0.05	0	5
C102	euclidean	50	0.1	0	6
C103	euclidean	50	0.2	0	9
C104	euclidean	50	0.3	0	13
C105	euclidean	50	0.5	0	16
C106	euclidean	50	0.8	0	20
C107	euclidean	50	1.0	0	23
C108	euclidean	50	2.0	0	34
C109	euclidean	50	5.0	0	57
C110	euclidean	50	10.0	0	98
C111	euclidean	50	0.01	1	3
C112	euclidean	50	0.05	1	5
C113	euclidean	50	0.1	1	6
C114	euclidean	50	0.2	1	9
C115	euclidean	50	0.3	1	12
C116	euclidean	50	0.5	1	16
C117	euclidean	50	0.8	1	21
C118	euclidean	50	1.0	1	22
C119	euclidean	50	2.0	1	33
C120	euclidean	50	5.0	1	61
C121	euclidean	50	10.0	1	102
C122	euclidean	50	0.01	2	3
C123	euclidean	50	0.05	2	5
C124	euclidean	50	0.1	2	6
C125	euclidean	50	0.2	2	10
C126	euclidean	50	0.3	2	12
C127	euclidean	50	0.5	2	16
C128	euclidean	50	0.8	2	22
C129	euclidean	50	1.0	2	23
C130	euclidean	50	2.0	2	34
C131	euclidean	50	5.0	2	60
C132	euclidean	50	10.0	2	100
C133	correlation	5	0.01	0	6
C134	correlation	5	0.05	0	7
C135	correlation	5	0.1	0	9
C136	correlation	5	0.2	0	13
C137	correlation	5	0.3	0	17
C138	correlation	5	0.5	0	21
C139	correlation	5	0.8	0	26
C140	correlation	5	1.0	0	31
C141	correlation	5	2.0	0	52
C142	correlation	5	5.0	0	109
C143	correlation	5	10.0	0	175
C144	correlation	5	0.01	1	5
C145	correlation	5	0.05	1	9
C146	correlation	5	0.1	1	11
C147	correlation	5	0.2	1	14
C148	correlation	5	0.3	1	18
C149	correlation	5	0.5	1	22
C150	correlation	5	0.8	1	28
C151	correlation	5	1.0	1	31
C152	correlation	5	2.0	1	51
C153	correlation	5	5.0	1	105
